Latitude,Longitude,Elevation
9507.0,14077.79,614.2696754057911
9521.51,14077.79,614.2607887273413
9536.02,14077.79,614.0670397550072
9550.53,14077.79,613.873813483373
9565.04,14077.79,613.7908730015633
9579.55,14077.79,613.7731253870228
9594.06,14077.79,613.7013395288511
9608.57,14077.79,613.5712329458377
9623.08,14077.79,613.4180939352091
9637.59,14077.79,613.2583054592758
9652.1,14077.79,613.1062534724484
9666.61,14077.79,612.9672919739371
9681.12,14077.79,612.8428352254666
9695.63,14077.79,612.5049891040893
9710.14,14077.79,612.6159677401344
9724.65,14077.79,612.5036127065214
9739.16,14077.79,612.3912515409373
9753.67,14077.79,612.2755159033019
9768.18,14077.79,611.8338582266077
9782.69,14077.79,611.3711905969424
9797.2,14077.79,611.2137453688899
9811.71,14077.79,611.0506823629461
9826.22,14077.79,610.1883425302761
9840.73,14077.79,610.0455712326318
9855.24,14077.79,609.9086532751357
9869.75,14077.79,609.7798497171549
9884.26,14077.79,609.1927557495846
9898.77,14077.79,609.1224843017209
9913.28,14077.79,609.0633663818899
9927.79,14077.79,609.0145204393476
9942.3,14077.79,608.9747257874157
9956.81,14077.79,608.9423512383293
9971.32,14077.79,608.6489994038931
9985.83,14077.79,608.6499268401899
10000.34,14077.79,608.644309417118
10014.85,14077.79,608.6322451401204
10029.36,14077.79,608.6152619138891
10043.87,14077.79,608.5956455865894
10058.38,14077.79,608.5755444380436
10072.89,14077.79,608.5564350426542
10087.4,14077.79,608.5390559857233
10101.91,14077.79,608.5235996022786
10116.42,14077.79,608.5252539055494
10130.93,14077.79,608.5135930017592
10145.44,14077.79,608.5036788710854
10159.95,14077.79,608.4953871291133
10174.46,14077.79,608.4886919602295
10188.97,14077.79,608.483644551848
10203.48,14077.79,608.4803205452633
10217.99,14077.79,608.4787471259533
10232.5,14077.79,608.4788294088007
10247.01,14077.79,608.3795102715334
10261.52,14077.79,608.323371525629
10276.03,14077.79,608.3262071520293
10290.54,14077.79,608.3268706807811
10305.05,14077.79,608.2224309236951
10319.56,14077.79,608.2153203311763
10334.07,14077.79,608.174291280029
10348.58,14077.79,608.1488119542172
10363.09,14077.79,608.1208076862373
10377.6,14077.79,608.0752113024228
10392.11,14077.79,608.0493182989314
10406.62,14077.79,608.0266236074282
10421.13,14077.79,608.0079815748717
10435.64,14077.79,607.9938480907102
10450.15,14077.79,608.2318185311917
10464.66,14077.79,608.2289573571481
10479.17,14077.79,608.205835914293
10493.68,14077.79,608.197609470265
10508.19,14077.79,608.1911534028719
10522.7,14077.79,608.1864639474476
10537.21,14077.79,608.183544846566
10551.72,14077.79,608.182381483652
10566.23,14077.79,608.0395699058445
10580.74,14077.79,608.0389655883774
10595.25,14077.79,608.1569567686722
10609.76,14077.79,608.1639621462044
10624.27,14077.79,608.1743678087469
10638.78,14077.79,608.190457270975
10653.29,14077.79,608.2140756377916
10667.8,14077.79,608.2454684343871
10682.31,14077.79,608.2796781800236
10696.82,14077.79,608.298460909234
10711.33,14077.79,608.2668704167861
10725.84,14077.79,608.250854789686
10740.35,14077.79,608.218554095815
10754.86,14077.79,608.1880721210362
10769.369999999999,14077.79,608.1067379642161
10783.88,14077.79,608.0692938663142
10798.39,14077.79,608.0331251145448
10812.9,14077.79,607.9980842474536
10827.41,14077.79,607.9643358637127
10841.92,14077.79,607.9323136733356
10856.43,14077.79,607.8257052715635
10870.94,14077.79,607.8008409696481
10885.45,14077.79,607.7800269922952
10899.96,14077.79,607.7634666861312
10914.47,14077.79,607.7511193848181
10928.98,14077.79,607.7426524761491
10943.49,14077.79,607.6564600898743
9507.0,14063.58,614.3847282747302
9521.51,14063.58,614.3973874232698
9536.02,14063.58,614.1358252335508
9550.53,14063.58,613.8958293740739
9565.04,14063.58,613.7608885142844
9579.55,14063.58,613.6903413291667
9594.06,14063.58,613.6064249629871
9608.57,14063.58,613.4843879549148
9623.08,14063.58,613.2079020552409
9637.59,14063.58,613.1902045333745
9652.1,14063.58,613.0438031940594
9666.61,14063.58,612.910803751849
9681.12,14063.58,612.7929461633166
9695.63,14063.58,612.6888561860862
9710.14,14063.58,612.5933800188767
9724.65,14063.58,612.4881529805788
9739.16,14063.58,612.3812532399718
9753.67,14063.58,612.2687442895855
9768.18,14063.58,611.839246385069
9782.69,14063.58,611.3935345150558
9797.2,14063.58,611.2280942166221
9811.71,14063.58,611.0553137331049
9826.22,14063.58,610.2165154263101
9840.73,14063.58,610.0591879889805
9855.24,14063.58,609.9092182788373
9869.75,14063.58,609.7690692434114
9884.26,14063.58,609.1836635718668
9898.77,14063.58,609.1094568080749
9913.28,14063.58,609.0483374126156
9927.79,14063.58,608.9992916552795
9942.3,14063.58,608.9609451455992
9956.81,14063.58,608.9313360868978
9971.32,14063.58,608.6755613837131
9985.83,14063.58,608.6792659066552
10000.34,14063.58,608.6730448752835
10014.85,14063.58,608.6568293020199
10029.36,14063.58,608.6335124768361
10043.87,14063.58,608.6072694027579
10058.38,14063.58,608.581558785131
10072.89,14063.58,608.5583088755692
10087.4,14063.58,608.5381364517574
10101.91,14063.58,608.5208847008469
10116.42,14063.58,608.5060763378112
10130.93,14063.58,608.497369372319
10145.44,14063.58,608.497947351795
10159.95,14063.58,608.4891745452547
10174.46,14063.58,608.4820890135356
10188.97,14063.58,608.4768248721638
10203.48,14063.58,608.4735885481196
10217.99,14063.58,608.4725349745916
10232.5,14063.58,608.4736316549502
10247.01,14063.58,608.3295425618179
10261.52,14063.58,608.3360599272723
10276.03,14063.58,608.3419712586734
10290.54,14063.58,608.3452166306356
10305.05,14063.58,608.2536759254907
10319.56,14063.58,608.2462246797633
10334.07,14063.58,608.2033634985023
10348.58,14063.58,608.1718323824349
10363.09,14063.58,608.13733335846
10377.6,14063.58,608.1029480152791
10392.11,14063.58,608.0546594116003
10406.62,14063.58,608.0280734717592
10421.13,14063.58,608.0067147137099
10435.64,14063.58,607.9909602176748
10450.15,14063.58,608.011826988558
10464.66,14063.58,608.0325479068839
10479.17,14063.58,608.2020015215871
10493.68,14063.58,608.1929044855286
10508.19,14063.58,608.185734097383
10522.7,14063.58,608.1805064459313
10537.21,14063.58,608.1772755090967
10551.72,14063.58,608.1347591661971
10566.23,14063.58,608.1412921292745
10580.74,14063.58,608.1475477996279
10595.25,14063.58,608.1527726568115
10609.76,14063.58,608.1625507824588
10624.27,14063.58,608.1713728073946
